YEAR,,,,
,RATE OF INTEREST (%),,,
02-03-1981 to 31-03-1982,1 Year Time Deposit,2 Year Time Deposit,3 Year Time Deposit,5 Year Time Deposit
01-04-1982 to 28-02-1983,8.5,9.5,10.5,10.5
01-03-1983 to 09-05-1985,9,9.75,10.5,10.5
10-05-1985 to 31-03-1987,9,9.75,10.5,11.5
01-04-1987 to 31-03-1991,9.5,10,10.5,11.5
01-04-1991 to 30-09-1991,9.5,10,10.5,11
01-10-1991 to 15-12-1991,9.5,10,11,11.5
16-12-1991 to 01-09-1993,10,11,13,13.5
02-09-1993 to 31-12-1999,12,12,13,13.5
01-01-1999 to 14-01-2000,10.5,11,12,12.5
15-01-2000 to 28-02-2001,9,10,11,11.5
01-03-2001 to 28-02-2002,8,9,10,10.5
01-03-2002 to 28-02-2003,7.5,8,9,9
01-03-2003 to 30-11-2011,7.25,7.5,8.25,8.5
01-12-2011 to 31-03-2012,6.25,6.5,7.25,7.5
01-04-2012 to 31-03-2013,7.7,7.8,8,8.3
01-04-2013 to 31-03-2014,8.2,8.3,8.4,8.5
01-04-2014 to 31-03-2016,8.2,8.2,8.3,8.4
01-04-2016 to 30-09-2016,8.4,8.4,8.4,8.5
01-10-2016 to 31-03-2017,7.1,7.2,7.4,7.9
01-04-2017 to 30-06-2017,7,7.1,7.3,7.8
01-07-2017 to 31-12-2017,6.9,7,7.2,7.7
01-01-2018 to 30-09-2018,6.8,6.9,7.1,7.6
01-10-2018 to 31-12-2018,6.6,6.7,6.9,7.4
01-01-2019 to 31-03-2019,6.9,7,7.2,7.8
01-04-2019 to 30-06-2019,7,7,7,7.8
01-07-2019 to 30-09-2019,7,7,7,7.8
01-10-2019 to 31-12-2019,6.9,6.9,6.9,7.7
01-01-2020 to 31-03-2020,6.9,6.9,6.9,7.7
01-04-2020 to 30-09-2022,6.9,6.9,6.9,7.7
01-10-2022 to 31-12-2022,5.5,5.5,5.5,6.7
01-01-2023 to 31-03-2023,5.5,5.7,5.8,6.7
01-04-2023 to 30-06-2023,6.6,6.8,6.9,7
01-07-2023 to 31-12-2023,6.8,6.9,7,7.5
01-01-2024 to 31-12-2025,6.9,7,7,7.5
,6.9,7,7.1,7.5
