Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2002-08-12,418.9486999511719,425.08592228124684,418.8243017552063,421.3953074814277,7100
2002-08-13,422.1832580566406,427.1179316629248,417.5803467811313,417.5803467811313,8800
2002-08-14,426.6202697753906,427.11786257123634,416.41918719211327,416.41918719211327,18700
2002-08-15,426.6202697753906,426.6202697753906,426.6202697753906,426.6202697753906,0
2002-08-16,423.8004455566406,428.652152523012,422.97109047727344,427.94722095347663,9400
2002-08-19,425.4592590332031,430.39393307772946,424.67136139250914,427.11796959473605,9100
2002-08-20,434.00152587890625,453.9475064693873,425.70797464628885,428.36192116469033,87200
2002-08-21,431.0158386230469,442.7097248246818,429.60592488459747,439.55818569273487,26000
2002-08-22,435.28704833984375,440.3876029724826,428.40341043241176,432.09405112742644,17700
2002-08-23,466.01446533203125,474.39092825789663,443.704801779676,443.704801779676,701900
2002-08-26,453.1596374511719,464.43884632836244,439.5581938464859,464.43884632836244,50100
2002-08-27,457.8040466308594,462.78017757249916,452.8279156892196,452.8279156892196,29100
2002-08-28,460.5823974609375,461.9508538108206,448.6811703979424,448.6811703979424,20100
2002-08-29,459.3382568359375,471.0321929709065,454.4865502247121,460.29203535531974,138400
2002-08-30,460.3335876464844,464.3559906860421,458.6334196325707,460.37504528198014,39400
2002-09-02,463.5682067871094,465.6830529141325,461.95095364767906,463.19498673649684,22900
2002-09-03,462.9875183105469,464.8535674215164,461.12146919957735,464.4388898413009,8400
2002-09-04,463.77532958984375,464.4388034708396,457.8454210476036,457.8454210476036,7800
2002-09-05,473.7276916503906,479.3672967826929,467.7563241962609,473.5618104894769,974200
2002-09-06,468.9175109863281,472.7325251519024,466.0976826936301,472.7325251519024,14500
2002-09-09,464.5217590332031,467.50746768649304,460.8311694312151,464.4388437733132,16800
2002-09-10,464.5217590332031,464.5217590332031,464.5217590332031,464.5217590332031,0
2002-09-11,464.89501953125,467.3416273494126,461.12146372009477,467.3416273494126,32400
2002-09-12,464.4388122558594,465.26816727774485,462.07517069141113,462.07517069141113,13200
2002-09-13,461.99224853515625,464.43885620520086,459.8774031531855,464.43885620520086,1900
2002-09-16,462.946044921875,464.23153525283175,456.97467784602105,456.97467784602105,5300
2002-09-17,464.8122863769531,465.22696411471117,459.5458487355214,462.78035533797055,7300
2002-09-18,465.0194091796875,465.26820558277365,461.32876890448813,461.32876890448813,7800
2002-09-19,460.3335876464844,464.43890595703357,458.2187420379662,464.43890595703357,23800
2002-09-20,458.13580322265625,465.26823723537717,456.5600081962123,456.5600081962123,2900
2002-09-23,462.44830322265625,464.4387753650014,456.4769880352394,456.4769880352394,6000
2002-09-24,473.4373779296875,481.0259979732285,458.63340841240586,462.73872662252114,195900
2002-09-25,465.80718994140625,471.90292807903955,463.60937925515486,471.03211557649263,16700
2002-09-26,463.7339782714844,466.92697552939524,462.4484372213258,464.52182521213126,4700
2002-09-27,466.5950927734375,471.82006965754533,460.29201515616035,471.82006965754533,58000
2002-09-30,472.732421875,473.89353929946293,467.1757324061895,469.415001370614,151700
2002-10-01,464.9779968261719,469.0418067918034,462.7801853752957,466.92696122991305,7000
2002-10-02,464.9779968261719,464.9779968261719,464.9779968261719,464.9779968261719,0
2002-10-03,467.75616455078125,470.57599146443533,464.43874494403815,464.43874494403815,8900
2002-10-04,469.2076416015625,471.9030456408114,467.7562701958131,471.7786221295345,6800
2002-10-07,469.45654296875,472.40074406902085,461.95088785909843,461.95088785909843,13700
2002-10-08,469.8297119140625,471.073744690534,461.1214824787622,461.1214824787622,8200
2002-10-09,468.3367919921875,470.2028407954521,466.09752330430734,466.09752330430734,8800
2002-10-10,469.8709716796875,471.9029011495466,466.3047560128868,466.5535523394446,37100
2002-10-11,465.4339904785156,467.756174126815,464.43875445215673,466.5121417488181,10600
2002-10-14,464.5633239746094,476.87922814039297,464.4803580847782,476.87922814039297,1600
2002-10-15,464.5633239746094,464.5633239746094,464.5633239746094,464.5633239746094,0
2002-10-16,464.5633239746094,465.2682556291486,461.53615732196295,464.438900449774,5600
2002-10-17,465.3924865722656,468.1708050255594,459.87725666372484,460.49927279086245,12400
2002-10-18,466.5950927734375,470.9077488051691,462.033640370989,462.033640370989,34500
2002-10-21,454.77667236328125,467.75609488960913,452.1642351839152,462.86288145046865,29200
2002-10-22,458.05267333984375,490.1487161454071,456.14516730960054,485.17258704748417,13400
2002-10-23,460.54095458984375,462.7802238615261,454.9013490825216,460.2921581418405,20400
2002-10-24,465.10235595703125,468.1709801225427,454.5280778408888,454.5280778408888,10700
2002-10-25,464.10711669921875,466.9269444268116,454.0719397401054,454.0719397401054,30200
2002-10-28,466.5950927734375,468.5855649787939,455.2329700122783,465.68282254087217,31600
2002-10-29,465.0194091796875,466.63666172947353,461.53610767702946,461.53610767702946,4300
2002-10-30,461.121337890625,466.84390711596757,455.35731104303073,455.35731104303073,16900
2002-10-31,456.55987548828125,459.5040752789129,456.14519803552173,458.75768623582945,25100
2002-11-01,442.6683044433594,454.27927636318515,432.135484077839,448.76404445333975,49900
2002-11-04,444.1610412597656,445.36361608264724,439.26787733949584,442.212077340475,4000
2002-11-05,440.67779541015625,451.91559708445476,439.59964394504357,451.91559708445476,5300
2002-11-06,440.67779541015625,440.67779541015625,440.67779541015625,440.67779541015625,0
2002-11-07,441.8388671875,444.1610510159076,435.41136606933367,440.3874959672689,32100
2002-11-08,436.4067077636719,439.5582473375995,435.4114714193202,438.85331567942126,6900
2002-11-11,435.03814697265625,437.89943179299314,433.420894629004,435.618705585738,5800
2002-11-12,438.0238037109375,459.46260728677566,434.99663812619826,459.46260728677566,12600
2002-11-13,430.932861328125,442.70971309639117,430.43526854882685,439.51671641962923,16700
2002-11-14,427.73992919921875,431.2646886739578,425.50066011483176,428.0301832609741,30500
2002-11-15,426.9104309082031,429.52291906746257,425.45905984634913,427.11776963132513,13400
2002-11-18,428.6936950683594,434.8308927747628,426.28854489785556,427.94725518928686,15400
2002-11-19,428.6936950683594,428.6936950683594,428.6936950683594,428.6936950683594,0
2002-11-20,429.44012451171875,437.4848803018989,428.0302105081077,432.92342657363264,24100
2002-11-21,427.9471740722656,431.2645940263142,426.28846409524135,431.2645940263142,6000
2002-11-22,429.3570251464844,438.7287250278443,426.45428310943817,427.9471117473868,13400
2002-11-25,435.5358581542969,439.5582102073231,429.06684777237166,431.26465907133587,6800
2002-11-26,444.03668212890625,450.33975980831724,437.15299521241434,447.0223398465617,22200
2002-11-27,434.95526123046875,442.0462367046766,431.30607880336737,442.0462367046766,6300
2002-11-28,443.4977111816406,446.1102004154938,438.0654445253539,441.9634242473625,5800
2002-11-29,443.4977111816406,443.4977111816406,443.4977111816406,443.4977111816406,0
2002-12-02,450.42279052734375,451.87416213267744,446.73220036964045,451.87416213267744,7500
2002-12-03,452.0814514160156,454.07192393323953,449.55192844774854,450.3398259283088,7700
2002-12-04,451.7497253417969,454.4865870008678,447.3956111415148,453.57431665444994,23300
2002-12-05,442.8756408691406,452.8279024617056,440.38757547099937,451.99854732899183,12300
2002-12-06,447.64447021484375,490.14892431120455,443.78794827817103,451.9985850247148,13500
2002-12-09,429.6888122558594,443.70493223224224,427.2007472153048,439.5581571646512,30100
2002-12-10,433.0478515625,438.3142370003832,430.60124352150336,431.2647175784281,9800
2002-12-11,432.550048828125,433.75262358727105,423.17834834685476,428.77649406236924,33200
2002-12-12,432.5915832519531,433.25510780225375,429.9376875300154,430.0620604183346,4500
2002-12-13,432.550048828125,433.33794612686256,430.4352039040032,431.3889823108656,6500
2002-12-16,428.27899169921875,433.75271508331815,424.62980902994053,431.34756505768235,29200
2002-12-17,429.1497802734375,433.3380131473581,427.5739854322484,428.56922161511443,2600
2002-12-18,428.901123046875,432.8405608082498,428.03025946691645,429.60605481939893,3000
2002-12-19,424.6298522949219,431.22323610198146,422.97114193439484,426.03976622533446,17700
2002-12-20,427.9471740722656,429.60588404928995,426.7031415894974,428.7765290607778,13500
2002-12-23,430.8085632324219,432.0940536519514,428.15461650253343,430.02066567857355,22400
2002-12-24,430.974365234375,434.4161582661115,429.60590917536945,433.7526843604599,2700
2002-12-25,430.974365234375,430.974365234375,430.974365234375,430.974365234375,0
2002-12-26,431.5133972167969,433.58678472083665,428.7765358354268,433.58678472083665,3000
2002-12-27,433.877197265625,437.8995497760547,413.06035117520935,431.26470811278114,5000
2002-12-30,433.0892028808594,438.728806909993,431.26461170736553,431.26461170736553,10000
2002-12-31,434.2088317871094,435.3284914906385,422.97108084165217,427.1178561440213,10300
2003-01-01,435.32861328125,435.41152856256804,425.4592650525665,425.4592650525665,2300
2003-01-02,435.5773620605469,437.89954650136195,432.2599412537184,437.816631229121,1600
2003-01-03,436.6139221191406,437.85795454005955,427.98861041951255,427.98861041951255,5000
2003-01-06,438.1897277832031,444.53431427024776,436.40664476762805,438.31415129072,8800
2003-01-07,439.93145751953125,443.7050133973574,437.89952724075647,437.89952724075647,7600
2003-01-08,443.58038330078125,446.9807682665646,438.31400070204415,440.9264885038168,35200
2003-01-09,444.90765380859375,446.15168673901957,441.6731479415547,441.6731479415547,4100
2003-01-10,450.6716003417969,451.9985483090881,439.1435437241508,439.5582212914068,11400
2003-01-13,450.3813781738281,454.8184593281459,449.0958876038219,454.8184593281459,13000
2003-01-14,446.5662536621094,454.48658456477665,445.4465939304337,452.8278744021315,10400
2003-01-15,450.0080261230469,451.1691434312738,444.4513878303149,449.51043334512946,8000
2003-01-16,445.2391662597656,449.510364323679,443.70487991359465,447.43697703436317,7800
2003-01-17,450.33984375,451.957096406768,442.8756474447514,443.8708837427487,18500
2003-01-20,444.990478515625,447.85176379718195,442.8756330883244,447.85176379718195,9400
2003-01-21,442.70977783203125,447.81033235483716,439.5582383227383,446.19307965591173,11500
2003-01-22,444.3269958496094,446.19304482891243,440.22167797117896,440.3875591155251,7400
2003-01-23,454.77667236328125,456.1451279951862,447.8515802134555,447.8515802134555,274600
2003-01-24,447.8931884765625,451.9985061332959,446.40035949770004,447.18825692593214,11700
2003-01-27,456.9746398925781,459.4627050825559,440.5119621334851,451.16915444929674,20500
2003-01-28,458.05267333984375,471.07355460336925,448.97122761217383,461.95065125717724,12000
2003-01-29,448.14202880859375,455.3159710040354,446.1930644811859,446.1930644811859,12900
2003-01-30,447.188232421875,454.40363114745446,440.5948499550556,447.93462156049947,15800
2003-01-31,447.5200500488281,451.79124961853023,438.4801086523118,447.2297959739191,5200
2003-02-03,448.4322204589844,452.8277914609256,446.1929520256007,447.5198996647426,5900
2003-02-04,444.8244934082031,456.0622931285116,443.91222323938,451.9984337514472,12900
2003-02-05,442.4609375,453.61577350845266,440.59488856021557,453.61577350845266,7300
2003-02-06,441.3828125,445.9442657376328,439.55822108098283,442.9170992501848,6700
2003-02-07,441.3828125,443.7049967515581,441.2169313492129,441.2583889819546,3500
